,wavelength(um),voltage response ,,wavelength£¨um£©,IR absorption spectrum
,,,,4.3102,0.07349
,,,,4.3138,0.07325
,,,,4.3174,0.07265
,,,,4.321,0.07257
,,,,4.3246,0.07305
,,,,4.3282,0.07326
,,,,4.3318,0.07282
,,,,4.3355,0.07214
,,,,4.3391,0.07171
,,,,4.3427,0.07172
,,,,4.3464,0.07188
,,,,4.35,0.07188
,,,,4.3537,0.07174
,,,,4.3573,0.07156
,,,,4.361,0.07142
,,,,4.3646,0.07139
,,,,4.3683,0.07146
,,,,4.372,0.07149
,,,,4.3757,0.07148
,,,,4.3794,0.07158
,,,,4.3831,0.07187
,,,,4.3868,0.07228
,,,,4.3905,0.07266
,,,,4.3942,0.07289
,,,,4.398,0.073
,,,,4.4017,0.07314
,,,,4.4054,0.07342
,,,,4.4092,0.07384
,,,,4.4129,0.07425
,,,,4.4167,0.07458
,,,,4.4205,0.07482
,,,,4.4242,0.07504
,,,,4.428,0.07532
,,,,4.4318,0.07569
,,,,4.4356,0.07609
,,,,4.4394,0.07642
,,,,4.4432,0.07704
,,,,4.447,0.07833
,,,,4.4508,0.07844
,,,,4.4546,0.07858
,,,,4.4585,0.07874
,,,,4.4623,0.07888
,,,,4.4662,0.07903
,,,,4.47,0.0792
,,,,4.4739,0.07941
,,,,4.4777,0.07975
,,,,4.4816,0.08015
,,,,4.4855,0.08058
,,,,4.4894,0.08107
,,,,4.4932,0.0815
,,,,4.4971,0.08176
,,,,4.501,0.08206
,,,,4.505,0.08257
,,,,4.5089,0.08315
,,,,4.5128,0.08365
,,,,4.5167,0.08402
,,,,4.5207,0.08443
,,,,4.5246,0.08493
,,,,4.5286,0.08547
,,,,4.5325,0.08602
,,,,4.5365,0.0865
,,,,4.5405,0.08683
,,,,4.5444,0.08718
,,,,4.5484,0.08766
,,,,4.5524,0.08815
,,,,4.5564,0.08864
,,,,4.5604,0.08922
,,,,4.5644,0.0898
,,,,4.5685,0.09034
,,,,4.5725,0.09096
,,,,4.5765,0.0916
,,,,4.5806,0.09211
,,,,4.5846,0.09255
,,,,4.5887,0.09295
,,,,4.5927,0.09344
,,,,4.5968,0.09404
,,,,4.6009,0.09464
,,,,4.605,0.09523
,,,,4.6091,0.09587
,,,,4.6132,0.09652
,,,,4.6173,0.0971
,,,,4.6214,0.09761
,,,,4.6255,0.09819
,,,,4.6296,0.09889
,,,,4.6338,0.09952
,,,,4.6379,0.10019
,,,,4.6421,0.10096
,,,,4.6462,0.10159
,,,,4.6504,0.10208
,,,,4.6546,0.10274
,,,,4.6588,0.10358
,,,,4.663,0.10439
,,,,4.6672,0.10512
,,,,4.6714,0.10595
,,,,4.6756,0.10695
,,,,4.6798,0.10782
,,,,4.684,0.10841
,,,,4.6882,0.10902
,,,,4.6925,0.10977
,,,,4.6967,0.11049
,,,,4.701,0.11121
,,,,4.7053,0.11213
,,,,4.7095,0.11316
,,,,4.7138,0.11405
,,,,4.7181,0.11487
,,,,4.7224,0.11588
,,,,4.7267,0.11702
,,,,4.731,0.11799
,,,,4.7353,0.11884
,,,,4.7397,0.11981
,,,,4.744,0.12089
,,,,4.7484,0.12197
,,,,4.7527,0.12307
,,,,4.7571,0.12422
,,,,4.7614,0.12539
,,,,4.7658,0.12647
,,,,4.7702,0.12755
,,,,4.7746,0.12878
,,,,4.779,0.13007
,,,,4.7834,0.13134
,,,,4.7878,0.13264
,,,,4.7922,0.13395
,,,,4.7967,0.13521
,,,,4.8011,0.1365
,,,,4.8056,0.13789
,,,,4.81,0.13932
,,,,4.8145,0.14069
,,,,4.819,0.14206
,,,,4.8234,0.14351
,,,,4.8279,0.14504
,,,,4.8324,0.14664
,,,,4.8369,0.14823
,,,,4.8415,0.14975
,,,,4.846,0.15136
,,,,4.8505,0.1531
,,,,4.8551,0.1548
,,,,4.8596,0.15644
,,,,4.8642,0.15818
,,,,4.8687,0.16
,,,,4.8733,0.16177
,,,,4.8779,0.16354
,,,,4.8825,0.16546
,,,,4.8871,0.16754
,,,,4.8917,0.16952
,,,,4.8963,0.17136
,,,,4.9009,0.17334
,,,,4.9056,0.17551
,,,,4.9102,0.17768
,,,,4.9149,0.17979
,,,,4.9195,0.18191
,,,,4.9242,0.18421
,,,,4.9289,0.18668
,,,,4.9336,0.18919
,,,,4.9383,0.19167
,,,,4.943,0.19405
,,,,4.9477,0.19629
,,,,4.9524,0.19853
,,,,4.9572,0.20102
,,,,4.9619,0.20383
,,,,4.9667,0.20668
,,,,4.9714,0.2095
,,,,4.9762,0.21238
,,,,4.981,0.21523
,,,,4.9858,0.21803
,,,,4.9906,0.22093
,,,,4.9954,0.22389
,,,,5.0002,0.22684
,,,,5.005,0.22994
,,,,5.0099,0.23309
,,,,5.0147,0.2362
,,,,5.0196,0.2395
,,,,5.0244,0.24297
,,,,5.0293,0.24637
,,,,5.0342,0.2498
,,,,5.0391,0.25328
,,,,5.044,0.25681
,,,,5.0489,0.26052
,,,,5.0538,0.26434
,,,,5.0587,0.26826
,,,,5.0637,0.2722
,,,,5.0686,0.27615
,,,,5.0736,0.28005
,,,,5.0786,0.28395
,,,,5.0835,0.28818
,,,,5.0885,0.29275
,,,,5.0935,0.29727
,,,,5.0985,0.30173
,,,,5.1035,0.30639
,,,,5.1086,0.31113
,,,,5.1136,0.31588
,,,,5.1187,0.32076
,,,,5.1237,0.32581
,,,,5.1288,0.33087
,,,,5.1339,0.33578
,,,,5.139,0.34069
,,,,5.1441,0.34616
,,,,5.1492,0.3524
,,,,5.1543,0.3586
,,,,5.1594,0.36439
,,,,5.1645,0.37018
,,,,5.1697,0.37623
,,,,5.1749,0.38251
,,,,5.18,0.38893
,,,,5.1852,0.39542
,,,,5.1904,0.40183
,,,,5.1956,0.40835
,,,,5.2008,0.41541
,,,,5.206,0.42266
,,,,5.2113,0.43002
,,,,5.2165,0.43791
,,,,5.2218,0.44566
,,,,5.227,0.4529
,,,,5.2323,0.46026
,,,,5.2376,0.46826
,,,,5.2429,0.47667
,,,,5.2482,0.48501
,,,,5.2535,0.49331
,,,,5.2588,0.50171
,,,,5.2642,0.51009
,,,,5.2695,0.51849
,,,,5.2749,0.52718
,,,,5.2802,0.53596
,,,,5.2856,0.54453
,,,,5.291,0.55353
,,,,5.2964,0.56295
,,,,5.3018,0.57195
,,,,5.3073,0.58073
,,,,5.3127,0.58965
,,,,5.3182,0.59862
,,,,5.3236,0.60759
,,,,5.3291,0.61647
,,,,5.3346,0.62501
,,,,5.3401,0.63295
,,,,5.3456,0.64105
,,,,5.3511,0.65058
,,,,5.3566,0.66069
,,,,5.3622,0.66966
,,,,5.3677,0.67777
,,,,5.3733,0.68587
,,,,5.3788,0.69413
,,,,5.3844,0.70233
,,,,5.39,0.71035
,,,,5.3956,0.71818
,,,,5.4013,0.72566
,,,,5.4069,0.73269
,,,,5.4125,0.7395
,,,,5.4182,0.74687
,,,,5.4239,0.7549
,,,,5.4295,0.76205
,,,,5.4352,0.76792
,,,,5.4409,0.77359
,,,,5.4466,0.77937
,,,,5.4524,0.78456
,,,,5.4581,0.78916
,,,,5.4639,0.7939
,,,,5.4696,0.79864
,,,,5.4754,0.80276
,,,,5.4812,0.80647
,,,,5.487,0.80975
,,,,5.4928,0.8124
,,,,5.4986,0.81456
,,,,5.5045,0.81621
,,,,5.5103,0.81727
,,,,5.5162,0.81781
,,,,5.522,0.81801
,,,,5.5279,0.81786
,,,,5.5338,0.81723
,,,,5.5397,0.81609
,,,,5.5457,0.81432
,,,,5.5516,0.81175
,,,,5.5576,0.80855
,,,,5.5635,0.80518
,,,,5.5695,0.80145
,,,,5.5755,0.79669
,,,,5.5815,0.79085
,,,,5.5875,0.78537
,,,,5.5935,0.78039
,,,,5.5996,0.7747
,,,,5.6056,0.76797
,,,,5.6117,0.76049
,,,,5.6178,0.75262
,,,,5.6239,0.74504
,,,,5.63,0.73778
,,,,5.6361,0.72929
,,,,5.6422,0.71873
,,,,5.6484,0.70831
,,,,5.6545,0.69945
,,,,5.6607,0.69112
,,,,5.6669,0.68253
,,,,5.6731,0.67268
,,,,5.6793,0.66185
,,,,5.6855,0.6516
,,,,5.6918,0.64147
,,,,5.698,0.63177
,,,,5.7043,0.62244
,,,,5.7106,0.61126
,,,,5.7169,0.59822
,,,,5.7232,0.58653
,,,,5.7295,0.57712
,,,,5.7358,0.56834
,,,,5.7422,0.55935
,,,,5.7486,0.55059
,,,,5.7549,0.54311
,,,,5.7613,0.5355
,,,,5.7677,0.52586
,,,,5.7742,0.51683
,,,,5.7806,0.50991
,,,,5.7871,0.50361
,,,,5.7935,0.49683
,,,,5.8,0.48926
,,,,5.8065,0.4815
,,,,5.813,0.47338
,,,,5.8195,0.46288
,,,,5.8261,0.45108
,,,,5.8326,0.44255
,,,,5.8392,0.43688
,,,,5.8458,0.4311
,,,,5.8524,0.42387
,,,,5.859,0.41546
,,,,5.8656,0.40737
,,,,5.8723,0.4006
,,,,5.8789,0.39288
,,,,5.8856,0.38334
,,,,5.8923,0.37497
,,,,5.899,0.36881
,,,,5.9057,0.36429
,,,,5.9124,0.35935
,,,,5.9192,0.35292
,,,,5.9259,0.34573
,,,,5.9327,0.33758
,,,,5.9395,0.3293
,,,,5.9463,0.32413
,,,,5.9532,0.32072
,,,,5.96,0.31661
,,,,5.9669,0.31107
,,,,5.9737,0.3048
,,,,5.9806,0.29862
,,,,5.9875,0.29243
,,,,5.9945,0.28799
,,,,6.0014,0.28526
,,,,6.0083,0.28151
,,,,6.0153,0.27662
,,,,6.0223,0.27291
,,,,6.0293,0.27006
,,,,6.0363,0.26577
,,,,6.0434,0.25923
,,,,6.0504,0.25267
,,,,6.0575,0.24951
,,,,6.0646,0.24636
,,,,6.0717,0.24137
,,,,6.0788,0.2385
,,,,6.0859,0.23762
,,,,6.0931,0.23555
,,,,6.1002,0.23111
,,,,6.1074,0.22527
,,,,6.1146,0.2209
,,,,6.1218,0.21989
,,,,6.1291,0.21913
,,,,6.1363,0.21654
,,,,6.1436,0.21282
,,,,6.1509,0.20917
,,,,6.1582,0.2059
,,,,6.1655,0.20353
,,,,6.1729,0.20126
,,,,6.1802,0.19765
,,,,6.1876,0.19426
,,,,6.195,0.19303
,,,,6.2024,0.19188
,,,,6.2098,0.18918
,,,,6.2173,0.18584
,,,,6.2247,0.18307
,,,,6.2322,0.18059
,,,,6.2397,0.17806
,,,,6.2472,0.17568
,,,,6.2548,0.17333
,,,,6.2623,0.17062
,,,,6.2699,0.16783
,,,,6.2775,0.16546
,,,,6.2851,0.16342
,,,,6.2927,0.16142
,,,,6.3004,0.1594
,,,,6.308,0.15741
,,,,6.3157,0.15543
,,,,6.3234,0.15315
,,,,6.3311,0.14978
,,,,6.3389,0.14547
,,,,6.3466,0.14249
,,,,6.3544,0.14186
,,,,6.3622,0.14058
,,,,6.37,0.13778
,,,,6.3779,0.13572
,,,,6.3857,0.13468
,,,,6.3936,0.13302
,,,,6.4015,0.12945
,,,,6.4094,0.12412
,,,,6.4173,0.12034
,,,,6.4253,0.12092
,,,,6.4333,0.12224
,,,,6.4412,0.12222
,,,,6.4493,0.12106
,,,,6.4573,0.11947
,,,,6.4653,0.11691
,,,,6.4734,0.11183
,,,,6.4815,0.10451
,,,,6.4896,0.09899
,,,,6.4977,0.10079
,,,,6.5059,0.10464
,,,,6.5141,0.10487
,,,,6.5223,0.10279
,,,,6.5305,0.10164
,,,,6.5387,0.1006
,,,,6.547,0.09833
,,,,6.5553,0.09547
,,,,6.5635,0.09253
,,,,6.5719,0.0905
,,,,6.5802,0.09036
,,,,6.5886,0.09031
,,,,6.597,0.09024
,,,,6.6054,0.09067
,,,,6.6138,0.0898
,,,,6.6222,0.08597
,,,,6.6307,0.08071
,,,,6.6392,0.07937
,,,,6.6477,0.083
,,,,6.6562,0.08537
,,,,6.6648,0.08422
,,,,6.6734,0.08143
,,,,6.682,0.08012
,,,,6.6906,0.08049
,,,,6.6992,0.07973
,,,,6.7079,0.07707
,,,,6.7166,0.07519
,,,,6.7253,0.07595
,,,,6.734,0.07749
,,,,6.7428,0.07798
,,,,6.7516,0.07759
,,,,6.7604,0.07686
,,,,6.7692,0.07534
,,,,6.778,0.07271
,,,,6.7869,0.07056
,,,,6.7958,0.07127
,,,,6.8047,0.07329
,,,,6.8137,0.07359
,,,,6.8226,0.0724
,,,,6.8316,0.07173
,,,,6.8406,0.07094
,,,,6.8497,0.06789
,,,,6.8587,0.06415
,,,,6.8678,0.06416
,,,,6.8769,0.06677
,,,,6.8861,0.06817
,,,,6.8952,0.06748
,,,,6.9044,0.06606
,,,,6.9136,0.06532
,,,,6.9228,0.06529
,,,,6.9321,0.06505
,,,,6.9414,0.06407
,,,,6.9507,0.0626
,,,,6.96,0.06143
,,,,6.9694,0.06099
,,,,6.9787,0.06052
,,,,6.9881,0.05954
,,,,6.9976,0.05867
,,,,7.007,0.05813
,,,,7.0165,0.05725
,,,,7.026,0.05613
,,,,7.0356,0.05514
,,,,7.0451,0.05429
,,,,7.0547,0.05389
,,,,7.0643,0.05394
,,,,7.0739,0.05378
,,,,7.0836,0.0533
,,,,7.0933,0.05281
,,,,7.103,0.05218
,,,,7.1128,0.05146
,,,,7.1225,0.0511
,,,,7.1323,0.05087
,,,,7.1422,0.05025
,,,,7.152,0.0494
,,,,7.1619,0.04869
,,,,7.1718,0.04865
,,,,7.1817,0.04928
,,,,7.1917,0.04943
,,,,7.2017,0.04871
,,,,7.2117,0.04801
,,,,7.2217,0.04803
,,,,7.2318,0.04832
,,,,7.2419,0.04839
,,,,7.252,0.04807
,,,,7.2622,0.04711
,,,,7.2724,0.04609
,,,,7.2826,0.0461
,,,,7.2928,0.04672
,,,,7.3031,0.04696
,,,,7.3134,0.04685
,,,,7.3237,0.04645
,,,,7.3341,0.04587
,,,,7.3445,0.0458
,,,,7.3549,0.04624
,,,,7.3653,0.04646
,,,,7.3758,0.04622
,,,,7.3863,0.04597
,,,,7.3969,0.04581
,,,,7.4074,0.04565
,,,,7.418,0.04561
,,,,7.4287,0.04569
,,,,7.4393,0.04555
,,,,7.45,0.04496
,,,,7.4607,0.04431
,,,,7.4715,0.04423
,,,,7.4823,0.04464
,,,,7.4931,0.04485
,,,,7.5039,0.04477
,,,,7.5148,0.04461
,,,,7.5257,0.04441
,,,,7.5366,0.0442
,,,,7.5476,0.04401
,,,,7.5586,0.04366
,,,,7.5696,0.04305
,,,,7.5807,0.04254
,,,,7.5918,0.04248
,,,,7.6029,0.04255
,,,,7.6141,0.0424
,,,,7.6253,0.04224
,,,,7.6365,0.04212
,,,,7.6478,0.04193
,,,,7.6591,0.04175
,,,,7.6704,0.04158
,,,,7.6818,0.04142
,,,,7.6932,0.04136
,,,,7.7046,0.04137
,,,,7.7161,0.04127
,,,,7.7276,0.04104
,,,,7.7391,0.04087
,,,,7.7507,0.04074
,,,,7.7623,0.04053
,,,,7.7739,0.04031
,,,,7.7856,0.04013
,,,,7.7973,0.03997
,,,,7.809,0.03988
,,,,7.8208,0.03979
,,,,7.8326,0.03968
,,,,7.8445,0.03955
,,,,7.8564,0.03934
,,,,7.8683,0.03906
,,,,7.8802,0.03879
,,,,7.8922,0.03846
,,,,7.9043,0.03802
,,,,7.9163,0.0375
,,,,7.9284,0.03699
,,,,7.9406,0.03664
,,,,7.9528,0.03633
,,,,7.965,0.03572
,,,,7.9772,0.03469
,,,,7.9895,0.03331
,,,,8.0019,0.03175
